,Expected Evacuation Costs,Expected Number of Deaths,Gelderland Dike Investment Costs,GelderlandDownstream Expected Annual Damage,GelderlandUpstream Expected Annual Damage,OverIjsel Dike Investment Costs,OverIjsel Expected Annual Damage,RfR Total Costs
mordm 0,0.0,0.93,0.17207955762277818,0.99,0.9,0.04157436242713275,1.0,0.1212
mordm 1,0.0,0.93,0.16596976319944248,0.99,0.9,0.04157436242713275,1.0,0.1212
mordm 2,0.0,0.97,0.17140740484155903,0.98,0.95,0.04157436242713275,1.0,0.1212
mordm 3,0.0,0.97,0.1670195059015514,0.98,0.93,0.04157436242713275,1.0,0.1212
mordm 4,0.0,0.96,0.17104000850186432,0.96,0.93,0.04157436242713275,1.0,0.1212
mordm 5,0.0,0.96,0.17047598788497081,0.96,0.95,0.04157436242713275,1.0,0.1212
mordm 6,0.0,0.96,0.16608808894496319,0.96,0.93,0.04157436242713275,1.0,0.1212
mordm 7,0.0,0.95,0.16959488978252454,0.93,0.95,0.04157436242713275,1.0,0.1212
moro_geldinv_opt 0,0.0,0.77,0.12647528241827483,0.93,0.82,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 10,0.0,0.59,0.13973355168930401,0.83,0.94,0.027441234686351984,0.54,0.7104
moro_geldinv_opt 14,0.0,0.77,0.09542891390101087,0.87,0.73,0.04157436242713275,1.0,0.7104
moro_geldinv_opt 15,0.021842039869231573,0.68,0.12619761256501216,0.61,0.91,0.03493111662946528,0.93,0.4543
moro_geldinv_opt 16,0.021842039869231573,0.46,0.08778607102786729,0.55,0.73,0.02917962034321382,0.67,0.4543
moro_geldinv_opt 18,0.0,0.56,0.08993714507947424,0.83,0.73,0.02917962034321382,0.67,0.4543
moro_geldinv_opt 2,0.0,0.71,0.11974330567798286,0.91,0.77,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 20,0.01608433561570401,0.62,0.12696573843974385,0.71,0.87,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 21,0.0,0.66,0.09560411996426665,0.93,0.73,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 24,0.0,0.66,0.08946247638488512,0.92,0.6,0.031004768565079124,0.81,0.4543
moro_geldinv_opt 25,0.0,0.42,0.07974317718595388,0.69,0.6,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 26,0.01106786359323125,0.53,0.07863589363394541,0.83,0.49,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 3,0.01608433561570401,0.55,0.11844944930220065,0.67,0.87,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 32,0.01608433561570401,0.55,0.11561312279060444,0.71,0.77,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 39,0.003962328342609152,0.75,0.13969909192064836,0.82,0.94,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 4,0.0,0.95,0.13725418398655623,0.99,0.87,0.04157436242713275,1.0,0.4543
moro_geldinv_opt 42,0.0,0.89,0.1354257202864622,0.91,0.88,0.04157436242713275,0.99,0.5892
moro_geldinv_opt 45,0.012946671660367809,0.4,0.07833154484886175,0.64,0.68,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 46,0.01608433561570401,0.42,0.07456739377864267,0.64,0.6,0.02917962034321382,0.67,0.7104
moro_geldinv_opt 5,0.0,0.77,0.12894160642809502,0.83,0.87,0.03493111662946528,0.93,0.7104
moro_geldinv_opt 51,0.01876505821832134,0.49,0.10940131359011973,0.64,0.74,0.031004768565079124,0.81,0.7104
moro_geldinv_opt 54,0.003962328342609152,0.79,0.12405394262790594,0.89,0.77,0.03493111662946528,0.93,0.7104
moro_geldinv_opt 58,0.004082568273128061,0.7,0.13894626380515546,0.72,0.93,0.04157436242713275,0.99,0.5892
moro_geldinv_opt 6,0.0,0.82,0.12553195048028734,0.87,0.85,0.03493111662946528,0.93,0.7104
moro_geldinv_opt 62,0.021855463378404327,0.33,0.06973111372707855,0.57,0.49,0.03493111662946528,0.93,0.7104
moro_geldinv_opt 7,0.0,0.96,0.1486999771394835,0.96,0.93,0.04157436242713275,0.99,0.3331
moro_geldinv_opt 8,0.03006907192650525,0.39,0.10400552902338564,0.99,0.72,0.027441234686351984,0.31,0.3331
moro_rfr_opt 0,0.0,0.83,0.15627820097031048,0.97,0.91,0.03493111662946528,0.87,0.0
